rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
14,Virginia,ACC,29-5,122.24892815655105,29,95.79841647918381,15,0.9428836168266124,14,29.921284664968432,5.078715335031568,15.0,3.0,15-3,0.6763740150110386,0.46184570338065617,0.7918245260007835,0.6737674035049582,0.46184570338065617,0.7918245260007835,0.6989330314704969,0.8330981351650665,114.91082051481098,105.72879900778787,114.83410923964875,105.81995816712427,119.78722345596981,94.0452775417333,123.05789079952865,95.08196809891062,0.9510156164197947,13.0,0.0732167106226379,1391.0,1252.0,1232.3375,1.1287492265714545,1.015955450515788,0.0,0.8333333333333334,7.6972076826452245,8,32,65.57655824471917
15,St. John's,BE,28-6,119.68293579862771,43,93.9574805033877,10,0.9417525666864841,15,28.823753265995315,6.176246734004684,18.0,2.0,18-2,0.7291573367743577,0.6154289929274274,0.775189895583917,0.7304884941215264,0.6154289929274274,0.775189895583917,0.6891024050281328,0.7402376608494582,114.84445573280415,103.40858183178295,114.6973628622141,103.26760579953633,119.25792077295534,95.17036144750875,124.03581127473082,96.73369246400708,0.9457819640986419,11.0,0.04274336888082175,1587.0,1393.0,1401.6375,1.1322471038339086,0.9938375649909481,0.0,0.9,7.192848867830685,15,81,69.59704499399905
16,Tennessee,SEC,22-11,121.40271384088535,32,95.3931707395661,13,0.9411838371983521,16,22.0,11.0,11.0,7.0,11-7,0.7319784563419452,0.5268193111162568,0.861298346555363,0.7319784563419452,0.5268193111162568,0.861298346555363,0.6141710588121316,0.7422671428936791,118.19348285043505,104.88868650013556,118.19348285043505,104.88868650013556,121.86563654778041,96.5047639576992,122.93689585924133,97.82543408452734,0.9326166089496111,17.0,-0.04005407826466667,1391.0,1324.0,1220.625,1.1395801331285202,1.0846902201740911,0.0,0.6111111111111112,4.061413449971385,23,271,65.21953433504594
17,Louisville,ACC,23-10,123.95082265270727,19,98.06062998279813,23,0.9366976293458708,17,23.743044165313254,10.256955834686746,11.0,7.0,11-7,0.7084679888078955,0.5541453214039088,0.8016531261642693,0.7122343318836554,0.5541453214039088,0.8016531261642693,0.6468612428603802,0.7398926717507012,115.33374222321,103.7059797565269,115.3738310172336,103.63381068531609,125.71421377837032,99.47057118648077,120.83192778271295,101.74039145932636,0.8784385343304738,16.0,-0.02792369996456112,1481.0,1357.0,1260.2875000000001,1.1751286908741059,1.07673844261726,0.0,0.6111111111111112,3.9426799402060504,26,243,69.706510926453
18,Alabama,SEC,23-9,129.466137183641,3,102.69921581145991,67,0.934842526409169,18,23.856976563517303,9.143023436482697,13.0,5.0,13-5,0.7897765954219955,0.7137451036089568,0.844674131092801,0.7872198706185493,0.7137451036089568,0.844674131092801,0.5978525758883968,0.6270076986761499,119.03846334547306,102.82510346997164,118.85686141669392,102.88434472620963,128.52672012308693,102.8589465697142,128.8762543873142,103.58288363075118,0.9250153299562022,15.0,0.046306138839143585,1627.0,1530.0,1342.1499999999999,1.2122341020005216,1.1399620012666245,0.0,0.7222222222222222,6.5083783731145175,17,77,73.05069164786843
19,Arkansas,SEC,26-8,127.87058761355864,5,101.51444716638807,50,0.9342818073913424,19,26.89281235177395,8.107187648226049,13.0,5.0,13-5,0.7465421145890495,0.5789526460136035,0.846953274886933,0.7432282530074172,0.5789526460136035,0.846953274886933,0.622200137625436,0.699730670101532,118.4410216973836,104.11752307684735,118.10468449924595,104.05199166876588,129.05893766773767,102.43946768437269,125.71498341506194,101.75861023829184,0.9191801449301241,16.0,0.07441666832782601,1620.0,1506.0,1327.5249999999996,1.2203160015818915,1.1344419125816843,0.0,0.7222222222222222,7.48866996806997,9,30,70.96842832229626
20,Nebraska,B10,26-6,117.1198380421005,63,93.35958484289178,7,0.9313427068122253,20,26.918517268132558,6.081482731867443,15.0,5.0,15-5,0.6958712663293294,0.41560302605216665,0.8366113280975652,0.6913342841649506,0.41560302605216665,0.8366113280975652,0.652859422374309,0.8831254366203727,116.30640126958562,104.69271558119628,116.1336860546278,104.81840523358409,119.68134170718504,91.50045025953892,119.63505592479844,93.77289363858624,0.9427328539214493,15.0,0.10527848965934605,1502.0,1324.0,1326.75,1.1320896928584887,0.997927265875259,0.0,0.75,7.439523558363118,10,9,66.81345562618183
21,Wisconsin,B10,24-10,127.12396702904945,8,101.50484358676991,49,0.9300947968729251,21,24.851579603576436,10.148420396423564,14.0,6.0,14-6,0.7350823155875758,0.49793631571951485,0.83720327618959,0.7340427438190354,0.49793631571951485,0.83720327618959,0.6221627232653509,0.8308264184509805,117.19379081368304,103.14080696988951,117.14723161680104,103.26288756014041,129.46210233691335,102.36664536234053,125.41872327537459,101.7046699459255,0.9176036272792847,18.0,0.027818317410649995,1641.0,1555.0,1367.4625,1.2000329076665721,1.137142700439683,0.0,0.7,5.3494387802254595,19,109,68.68673186161992
22,Kansas,B12,23-10,117.71197190434623,58,94.23890199144832,11,0.9280883094004693,22,23.8532464316244,10.146753568375601,12.0,6.0,12-6,0.7868728905670167,0.6910763677518059,0.8430269019267718,0.7840065362625486,0.6910763677518059,0.8430269019267718,0.58940241585906,0.6708972293321522,117.6605891851533,101.1829456399586,117.35872609147967,101.15411707267708,120.43200235990334,96.73782465232422,117.1707501871923,96.92320389558381,0.8985943773343433,18.0,0.052447187569211184,1385.0,1325.0,1251.4125,1.1067493732082747,1.0588035519862555,0.0,0.6666666666666666,6.211796388666072,18,64,67.5967873999876
23,Ohio St.,B10,21-12,125.13077499750682,14,101.43618429598008,48,0.9179029386643398,23,21.68482728702162,12.315172712978383,12.0,8.0,12-8,0.7277244461402286,0.49073336942667106,0.8364604703092194,0.730946732165528,0.49073336942667106,0.8364604703092194,0.62058423841516,0.8160711860734406,116.52289373146515,102.95594265410361,116.47064985144239,102.8546523595019,127.3942383127431,102.63597009167708,125.60582083801282,101.10736470533885,0.9237979295386547,17.0,-0.019156299763850693,1559.0,1499.0,1318.85,1.1820904575956326,1.1365962770595595,0.0,0.6,2.862109862787727,32,225,66.15231631182645
